address1,voice,Number of employees,address2,address3,city,state,postal_code,country,web,NAICS-Description,NAICS-Number,Additional Comment,Lead Origin,Notes,temp_cntct_id
Adept Technology Inc,(925) 245 3400,100-199,5960 Inglewood Dr,,Pleasanton,California,94588,United States,www.adept.com,Industrial Automation,,1983,LF,;these are previous visitors assigned to Cam; his lists have been assigned to you for any future visitors;got Worksheet to Calculate Return on Investment for Your ERP = Bhanu Sodhi bhanu.sodhi@adept.com;;;;;;;,26
Adhesive Tape Products Inc,(305) 887 8881,,,,Miami (FL),Florida,,United States,www.adhesivetape.com,,,,LF,;;;;;;;;;,27
Advance Paper Box Company,(323) 750 2550,,,,Los Angeles (CA),California,,United States,www.advancepaperbox.com,,,,LF,;Shodja Talaee (Apogee) was CFO/COO here! not finding good contact other than HR mgr Susan Bollinger;;;;;;;;,28
Advanced Composites,(615) 244 8994,200-499,3066 Sidco Drive,,Nashville,Tennessee,37204,United States,www.advcmp.com,Manufacturing,,2003,LF,;these are previous visitors assigned to Cam; his lists have been assigned to you for any future visitors;MFG;;;;;;;,29
Advanced Engineering Solutions Inc,(937) 743 6900,50-99,250 Advanced Dr,,Springboro,Ohio,45066,United States,www.advancedinternational.com,Engineering,86900,1995,LF,;Mr. Daklak Do founding partner; tools mfg; do.daklak@aesi-usa.com;;;;;;;;,30
Advanced Fixtures Inc,(888) 784 8800,100-199,2655 East Audie Murphy Parkway,,Farmersville,Texas,75442,United States,www.advancedfixtures.com,Construction,,1983,LF,She is in  meeting right now;;Stefanie Hurst CFO shurst@advancedfixtures invite to https://xtuple.com/roadshow-houston;;;;;;;,31
Advantech Industries Inc,(585) 247 0701,100-199,3850 Buffalo Rd,,Rochester,New York,14624,United States,www.advantechindustries.com,Manufacturing,92000,2002,LF,;;;;;;;;;,32
AERC Recycling Solutions,(804) 550 1762,100-199,3301 Rosedale Avenue,,Richmond,Virginia,23230,United States,www.aerc.com,Environmental Services,,1990,LF,;these are previous visitors assigned to Cam; his lists have been assigned to you for any future visitors;based on when hitting FT page-ccrawford@icsva.com;;;;;;;,33
Aerofit LLC,(714) 521 5060,21-49,1425 S Acacia Ave,,Fullerton,California,92831,United States,www.aerofit.com,Manufacturing,87900,1968,LF,;David Beddome president;;;;;;;;,34
AGDATA,(800) 230 4997,200-499,6060 Piedmont Row Drive South,,Charlotte,North Carolina,28287,United States,www.agdata.net,Information Technology and Services,,1985,LF,;;;;;;;;;,35
Aidarex Pharmaceuticals LLC,(951) 270 0816,21-49,595 N Smith Ave,,Corona,California,92880,United States,www.aidarex.com,Medical Supplies and Equipment,0,2006,LF,;;;;;;;;;,36
Air Drilling Co,(704) 872 7614,,,,Statesville (NC),North Carolina,,United States,www.airdrillinginc.com,,,,LF,;;;;;;;;;,37
Airborne Systems North America,(714) 662 1400,500-999,3701 West Warner Avenue,,Santa Ana,California,92704,United States,www.airborne-sys.com,Manufacturing,,1919,LF,Noone is at the front desk.;;;;;;;;;,38
Akkar Group,(305) 500 9929,100-199,1612 NW 84 Avenue,,Miami,Florida,33126,United States,www.akkarg.com,Consumer Electronics,,1994,LF,;Jose Luis Zreik CEO;;;;;;;;,39
Album Palace Inc,(732) 317 8920,20-Jan,140 W Ethel Rd,Unit Q,Piscataway Township,New Jersey,8854,United States,www.albumpalace.net,Events Services,86230,,LF,;;;;;;;;;,40
Alfa-Inc,(800) 551 4420,20-Jan,100 Chaddick Drive,,Wheeling,Illinois,60090,United States,www.precisionzone.com,Electrical/Electronic Manufacturing,0,2003,LF,;;;;;;;;;,41
Alijas Inc,(215) 247 1833,0,7014 Crittenden St,,Philadelphia,,19119,United States,,Information Technology and Services,,,LF,;John Kukulka President;;;;;;;;,42
Allied Concrete,(434) 296 7181,,,,Charlottesville (VA),Virginia,,United States,www.alliedconcrete.com,,,,LF,;need eComm! Thomas Cobb VP/Corporate Controller;;;;;;;;,43
Allied Plating Supplies Inc,(800) 432 8692,,5000 E 10th Ct,,Hialeah,Florida,33013,United States,www.alliedplating.com,Chemicals,,,LF,Gone for the day I let the receptionist know that someone went to our site about an alternative for Quickbooks;;;;;;;;;,44
Alpha Packaging,(314) 427 4300,,,,St Louis (MO),Missouri,,United States,www.alphap.com,,,,LF,;;;;;;;;;,45
Alps Welding Ltd,(905) 850 2780,,,,Woodbridge (ON),,,Canada,www.alpswelding.com,,,,LF,;;;;;;;;;,46
Alstom,(212) 692 5353,"2,000+",641 Lexington Avenue,28th Floor,New York,New York,10022,United States,www.alstom.com,Transportation/Trucking/Railroad,0,1928,LF,;;;;;;;;;,47
Alternative Energy Source,(866) 646 7322,,,,Waterville (OH),Ohio,,United States,www.aes-energ.com,,,,LF,;Huck Hayes president;;;;;;;;,48
Aluf Plastics,(800) 394 2247,200-499,2 Glenshaw St,,Orangeburg,New York,10962,United States,www.alufplastics.com,Manufacturing,46740,1977,LF,;mfg;;;;;;;;,49
Alva-Amco Pharmacal Companies Inc,(847) 663 0700,21-49,7711 Merrimac Avenue,,Niles,Illinois,60714,United States,www.alva-amco.com,Pharmaceuticals,81300,1904,LF,;;;;;;;;;,50
Amaxi Nutrition Products,(909) 989 2688,,10655 7th St,,Rancho Cucamonga,California,91730,United States,www.californiamilkcompany.com,Food and Beverages,0,2011,LF,;;;;;;;;;,51
American Foam Corporation,(401) 944 4990,20-Jan,61 John Street,,Johnston,Rhode Island,2919,United States,www.americanfoam.com,Wholesalers,,1965,LF,;;;;;;;;;,52
American Paper Converting Inc,(866) 822 5272,21-49,1845 Howard Way,,Woodland,Washington,98674,United States,www.americanpaperco.com,Manufacturing,75000,1997,LF,found in df; also added to LEADS for Lead Slam;;;;;;;;;,53
American Ramp Company,(800) 949 2024,100-199,601 McKinley Ave,,Joplin,Missouri,64801,United States,www.americanrampcompany.com,Sports,,1998,LF,The systems ADMIN said they already have ERP and dont need it he wouldnt tell me what they have;Switched to IT there was no answer;;;;;;;;,54
American Stationery Company Inc,(800) 822 2577,200-499,100 N Park Ave,,Peru,Indiana,46970,United States,www.americanstationery.com,Wholesalers,82990,1919,LF,;Dave Ambrose IT; Michael & Cliff Bakehorn owners; Mike Bakehorn president;;;;;;;;,55
AMETEK,(978) 988 4101,"2,000+",50 Fordham Rd,,Wilmington,Massachusetts,1887,United States,www.ametek.com,Electrical/Electronic Manufacturing,0,1930,LF,;cj.mukherjee@ametek.com CJ Mukherjee Superior Tube Company Inc (attended Pipe&Tube Charlotte Show where Wally presented Sep2016);;using pre-key PostBooks?;;;;;;,56
Amigo Mobility Center,(888) 892 2580,,6693 Dixie Highway,,Bridgeport,Michigan,48722,United States,www.myamigo.com,Medical Supplies and Equipment,,1968,LF,;;;;;;;;;,57
Amphenol EEC Inc,(773) 463 8343,,4050 N Rockwell Street,,Chicago,Illinois,60618,United States,www.elecquip.com,Electrical/Electronic Manufacturing,,,LF,;did not convert on free demo signup - no contact info;Matt Schroll Systems Coord; Monica Okoniewski Office Admin;;;;;;;,58
AMS Controls,(314) 344 3144,21-49,12180 Prichard Farm Road,,Maryland Heights,Missouri,63043,United States,www.amscontrols.com,Industrial Automation,,1977,LF,;at FABTECH? Andy Allman (Pres) Marc Allman (COO);;;;;;;;,59
Amsco Valley Forge,(631) 435 1400,0,90 Plant Avenue,,Hauppauge,,11788,United States,www.amscovf.com,Automotive,,,LF,;Brian Minoff president brian@amscovf.com;;;;;;;;,60
Analog Devices Inc,(800) 262 5643,"2,000+",1 Technology Way,,Norwood,Massachusetts,2062,United States,www.analog.com,Semiconductors,0,1965,LF,;;;;;;;;;,61
Anderson International Corp,(800) 336 4730,100-199,4545 Boyce Pkwy,,Stow,Ohio,44224,United States,www.andersonintl.net,Manufacturing,,1888,LF,;;;;;;;;;,62
Animal Science Products Inc,(936) 560 0003,21-49,3418 Rayburn Dr,,Nacogdoches,Texas,75961,United States,www.asp-inc.com,Manufacturing,,1987,LF,;;;;;;;;;,63
Animart,(855) 254 6600,100-199,1240 Green Valley Road,,Beaver Dam,Wisconsin,53916,United States,www.animart.com,Wholesalers,,1982,LF,Sean is not at his desk.;Sean Neil in IT is in a meeting.;;;;;;;;,64
Anthill Networks,(281) 923 7737,,,,Houston (TX),Texas,,United States,www.antnet.com,,,,LF,Bob Watts watts@humbug.antnet.com;;Bob Watts watts@humbug.antnet.com - opened e-blast re: Houston roadshow;;;;;;;,65
Aperion Information Technologies Inc,(989) 792 3877,21-49,3126 Davenport Avenue,,Saginaw,Michigan,48602,United States,www.aperion.com,Information Technology and Services,,1998,LF,;Mark Comins President mark@aperion.com;;;;;;;;,66
Apex Manufacturing Solutions LLC,(208) 344 5535,21-49,408 E ParkCenter Blvd,Suite 200,Boise,Idaho,83706,United States,www.apexmfgsolutions.com,Industrial Automation,,2005,LF,;;;;;;;;;,67
Apollo Video Technology,(425) 483 7100,100-199,24000-35th Ave SE,,Bothell,Washington,98021,United States,www.apollovideotechnology.com,Consumer Electronics,,2004,LF,;;;;;;;;;,68
Applied Dynamics International Inc,(734) 973 1300,100-199,3800 Stone School Road,,Ann Arbor,Michigan,48108,United States,www.adi.com,Computer Software,,,LF,;;;;;;;;;,69
Appvion Inc,(920) 734 9841,"2,000+",825 E Wisconsin Ave,,Appleton,Wisconsin,54912,United States,www.appvion.com,Manufacturing,,1907,LF,;;;;;;;;;,70
Arbonne International LLC,(800) 272 6663,500-999,9400 Jeronimo Rd,,Irvine,California,92618,United States,www.arbonne.com,Health and Beauty,0,1975,LF,Kay Zanotti CEO; Gretchen Price CFO; Guy Their; CIO;;;;;;;;;,71
ARC Automotive Inc,(865) 583 7800,,,,Knoxville (TN),Tennessee,,United States,www.arc-cpcn.com,,,,LF,;;;;;;;;;,72
Arizona Chemical Company LLC,(800) 526 5294,"2,000+",4600 Touchton Road East,Suite 1200,Jacksonville,Florida,32246,United States,www.arizonachemical.com,Manufacturing,,1930,LF,;;;;;;;;;,73
Armstrong Group,(724) 2830925,,,,Butler (PA),Pennsylvania,,United States,www.agoc.com,,,,LF,;;;;;;;;;,74
Armstrong RM Corp,(315) 437 1517,0,6910 Manlius Center Road,,East Syracuse,,13057,United States,www.armstrongmold.com,Manufacturing,,,LF,someone from Blair is here - could be a referral for us? Ed Doherty Ops; Peter Armstrong President; Patrick Federico CFO; James Morin GM;;;;;;;;;,75
Arnold. Hancock & Co LLC,(432) 683 8200,,3201 North Pecos St,Suite 201,Midland,Texas,79705,United States,,Accounting,,,LF,;;;;;;;;;,76
Array Technologies,(505) 881 7567,100-199,3901 Midway Place Northeast,,Albuquerque,New Mexico,87109,United States,www.arraytechinc.com,Engineering,,1992,LF,;;;;;;;;;,77
Art's,(408) 778 0606,,,,Morgan Hill (CA),California,,United States,www.artssheetmetal.com,,,,LF,;;;;;;;;;,78
Artmada Inc,(847) 854 8922,,1510 Foster Circle,,Algonquin,Illinois,60102,United States,www.artmada.us,Consultants,,,LF,SAP;;;;;;;;;,79
Ascent Energy Services Inc,(519)  631 4211,,,,St Thomas (ON),,,Canada,www.ascent.ca,,,,LF,;;;;;;;;;,80
Asheville Fence,(800) 520 7501,20-Jan,1270 Smoky Park Hwy,,Candler,North Carolina,28715,United States,www.ashevillefence.com,Building and Maintenance Services,0,1966,LF,;;;;;;;;;,81
Ashland Inc,(859) 357 7777,"2,000+",3475 Blazer Parkway,,Lexington,Kentucky,40509,United States,www.ashland.com,Wholesalers,0,1924,LF,;;;;;;;;;,82
Asset Inter Tech Inc,(888) 694 6250,100-199,2201 N Central Expy,Ste 105,Richardson,Texas,75080,United States,www.asset-intertech.com,Electrical/Electronic Manufacturing,,1995,LF,;;;;;;;;;,83
Associated Dynamics Inc,(800) 442 5125,21-49,10951 Us Hwy 271 N,,Tyler,Texas,75708,United States,www.adi-bearings.com,Oil and Energy,,,LF,";found us via Serchen (lead gen/review site)missy;;;;;;;;",84
Astellas Pharma US Inc,(800) 888 7704,"2,000+",1 Astellas Way,,Northbrook,Illinois,60062,United States,www.astellas.us,Pharmaceuticals,,2005,LF,;;;;;;;;;,85
Astronics Corporation,(425) 881 1700,500-999,12950 Willows Road NE,,Kirkland,Washington,98034,United States,www.astronics.com,Aviation and Aerospace,,1968,LF,;;;;;;;;;,86
ATACO Steel Products Corporation,(262) 377 3000,100-199,6809 Hwy 60,,Cedarburg,Wisconsin,53012,United States,www.atacosteel.com,Manufacturing,,1946,LF,Jim ext 239;IT is not in right now;;;;;;;;,87
Athena Manufacturing LP,(512) 928 2693,100-199,15900 Bratton Ln,,Austin,Texas,78728,United States,www.athenamfg.com,Manufacturing,71111,2011,LF,;;;;;;;;;,88
Atlantic Coated Papers Ltd,(416) 299 1675,,,,Toronto (ON),,,Canada,www.atlanticcoatedpapers.com,,,,LF,;Sylvain Jutras VP Ops; Jim Dubay VP Finance; David Granovsky Pres; Phil Woodall Purchasing (80 emps);;;;;;;;,89
Atlas Systems Inc,(757) 467 7872,,,,Virginia Beach (VA),Virginia,,United States,www.atlas-sys.com,,,,LF,;local company (VirginiaBeach) hitting career pages;;;;;;;;,90
Audina Hearing Instruments Inc,(407) 331 0077,,165 East Wildmere Avenue,,Longwood,Florida,32750,United States,www.audina.net,Wholesalers,,1990,LF,AJ the IT manager is in a meeting.;;;;;;;;;,91
Audio Incorporated,(908) 620 1007,50-99,170 W Westfield Ave,,Roselle Park,New Jersey,7204,United States,www.audioincorporated.com,Events Services,47110,1998,LF,;;;;;;;;;,92
Auroralight Inc,(877) 942 1179,21-49,2742 Loker Ave W,,Carlsbad,California,92010,United States,www.auroralight.com,Electrical/Electronic Manufacturing,46650,1996,LF,;;;;;;;;;,93
Auto-Chlor System,(559) 291 5051,500-999,971 25th St,,San Francisco,California,94107,United States,www.autochlor.net,Domestic Appliances,62090,1938,LF,;Kevin McCurdy COO; Paul Macdonald Corp Controller;;;;;;;;,94
Auto-Vehicle Parts Company,(800) 354 9816,,100 Homan Dr,,Dayton,Ohio,41076,United States,www.auveco.com,Automotive,,,LF,Joe Hohe VP Ops;http://www.k-ecommerce.com/medias/Auveco_Case_Study.pdf;;Using k-ecommerce & MSFT Dynamics;;;;;;,95
Autocrib,(800) 671 6501,100-199,2882 Dow Avenue,,Tustin,California,92780,United States,www.autocrib.com,Machinery,,1994,LF,;Stephen Pixley CEO; Jonathan Kim CTO; Jim McMahon VP Ops;;;;;;;;,96
Automatic Handling,(734) 847 0633,100-199,360 La Voy Rd,,Erie,Michigan,48133,United States,www.automatichandling.com,Industrial Automation,91020,1972,LF,;;;;;;;;;,97
AutoZone Inc,(901) 495 6500,"2,000+",123 South Front St,,Memphis,Tennessee,38103,United States,www.autozone.com,Retail,,1979,LF,;;;;;;;;;,98
Avalara Inc,(206) 826 4900,500-999,18300 Von Karman Avenue,Suite 450,Irvine,California,92612,United States,www.avalara.com,Computer Software,,2004,LF,;;;;;;;;;,99
Avior Control Technologies Inc,(720) 491 3708,,2000 Pike Road,Unit B,Longmont,Colorado,80501,United States,www.aviorcontrols.com,Aviation and Aerospace,,,LF,;Debora Starin president;;;;;;;;,100
Aware Products,(818) 206 6700,100-199,9250 Mason Ave,,Chatsworth,California,91311,United States,www.awareproducts.com,Manufacturing,,1974,LF,;;;;;;;;;,101
Baass Business Solutions Inc,(519) 936 7991,,,,London (ON),,,Canada,www.baass.com,,,,LF,;Joseph Arnone President jarnone@baass.com;;;;;;;;,102
Balchem Corporation,(845) 355 5300,500-999,52 Sunrise Park Rd,,New Hampton,New York,10958,United States,www.balchem.com,Wholesalers,78300,1967,LF,;John Kuehner (VP Ops) William Backus (CFO) Frank Fitzpatrick (VP Admin) no webform registration matched w/this company;;;;;;;;,103
Baosteel America Inc,(201) 307 3355,"2,000+",85 Chestnut Ridge Rd,,Montvale,New Jersey,7645,United States,www.baosteelusa.com,Manufacturing,,1978,LF,;;;;;;;;;,104
Barefoot Yoga Co,(877) 227 3366,20-Jan,307 Nickerson Street,,Seattle,Washington,98109,United States,www.barefootyoga.com,Retail,,1996,LF,;;;;;;;;;,105
BatchMaster Manufacturing ERP,(949) 583 1646,200-499,23191 La Cadena Dr,Suite 101,Laguna Hills,California,92653,United States,www.batchmaster.com,Computer Software,,1983,LF,They are a competitor.;;Mark Richards mrichards@batchmaster.com;;;;;;;,106
Baumer Foods Inc,(504) 482 5761,21-49,2424 Edenborn Ave,Suite 510,Metairie,Louisiana,70001,United States,www.baumerfoods.com,Manufacturing,73110,1923,LF,;FOOD MFG;;;;;;;;,107
Bay,(800) 837 2292,21-49,6528 Weatherfield CT,,Maumee,Ohio,43537,United States,www.baycontrols.com,Manufacturing,,1983,LF,;;;;;;;;;,108
Bay Photo Lab,(800) 435 6686,200-499,920 Disc Drive,,Scotts Valley,California,95066,United States,www.bayphoto.com,Photography,,1976,LF,;sara.parsoneault@bayphoto.com (form submission);;;;;;;;,109
BCA Network LLC,(410) 869 1325,,5850 Waterloo Rd,Suite 140,Columbia,Maryland,21045,United States,www.bcanetwork.com,Computing,,,LF,not available;no record in our db re: using PostBooks¨;;;;;;;;,110
Beckman Coulter Inc,(541) 472 6500,"2,000+",481 California St,,Grants Pass,Oregon,97526,United States,www.beckmancoulter.com,Manufacturing,382101,1935,LF,;;;;;;;;;,111
Bedrosians,(714) 778 1800,500-999,1515 E Winston Rd,,Anaheim,California,92805,United States,www.bedrosians.com,Building Materials and Tools,85590,1948,LF,;Gardnar O'Brien CFO;;;;;;;;,112
Bel Power Solutions,(866) 513 2839,"2,000+",2390 Walsh Avenue,,Santa Clara,California,95051,United States,www.belfuse.com,Automotive,0,2008,LF,;Dan Bernstein president; Dennis Ackerman VP Ops; Colin Dunn VP Finance/CFO 201-432-0463 x2810 cdunn@belf.com - auto aftermarket-good industry for us!;;;;;;;;,113
Belden Inc,(800) 235 3361,"2,000+",2200 Us Highway 27 S,,Richmond,Indiana,47374,United States,www.belden.com,Manufacturing,,1902,LF,;;;;;;;;;,114
Belkin International Inc,(310) 751 5100,"2,000+",12045 Waterfront Dr,,Playa Vista,California,90094,United States,www.belkin.com,Electrical/Electronic Manufacturing,62090,1983,LF,No names are on the prompts or departments;;;;;;;;;,115
Bell Electronics,(253) 395 0707,,,,Kent (WA),Washington,,United States,www.bellnw.com,,,,LF,Not interested;;Gary Bell; in df;;;;;;;,116
Bell Supply Company LLC,(817) 645 4200,200-499,102 E Barnett Dr,,Gainesville,Texas,76033,United States,www.bellsupplystores.com,Oil and Energy,,,LF,Phone just rang when they switched me;940-612-0612 call corporate the gentleman said who answered the phone.;;;;;;;;,117
Belleville International,(877) 235 5384,21-49,330 E Cunningham St,,Butler,Pennsylvania,16001,United States,www.bellevilleintl.com,Manufacturing,85422,,LF,;did not complete free demo signup;;;;;;;;,118
Belron Canada Inc,(905) 669 7700,,,,Concord (ON),,,Canada,www.belroncanada.com,,,,LF,;;;;;;;;;,119
Bendix Commercial Vehicles Systems LLC,(440) 329 9000,"2,000+",901 Cleveland Street,,Elyria,Ohio,44035,United States,www.bendix.com,Transportation/Trucking/Railroad,,1930,LF,;;;;;;;;;,120
Bennett Crone Lumber & Plywood Inc,(619) 661 0667,20-Jan,1202 Piper Ranch Rd,,San Diego,California,92154,United States,www.bennettcrone.com,Wholesalers,503109,2000,LF,;;;;;;;;;,121
Benny D'Angelo Transport,(450) 454 9824,,,,St-Remi (QC),,,Canada,www.bennydangelo.com,,,,LF,Rentals Mgr; eCommerce;;;;;;;;;,122
Benson Stone Co,(815) 227 2000,50-99,1100 Eleventh Street,,Rockford,Illinois,61104,United States,www.bensonstone.com,Furniture,,1930,LF,told us they were going with Epicor (big jump!) but need to followup: Mark Martindale markm@bensonstone.com 815-227-2000 ex 108;Danielle says go for it;;Anil's customer?;Looks like you're working with Anil on this one - Cam;;;;;,123
BerganKDV,(952) 563 6800,200-499,3800 American Blvd W,Suite 1000,Minneapolis,Minnesota,55431,United States,www.bergankdv.com,Accounting,,1945,LF,;;;;;;;;;,124
Berry Plastics Corporation,(877) 662 3779,"2,000+",101 Oakley Street,,Evansville,Indiana,47710,United States,www.berryplastics.com,Plastics,,1967,LF,Cant get throught the line;;;;;;;;;,125
Bestbath,(800) 727 9907,100-199,723 Garber St,,Caldwell,Idaho,83605,United States,www.bestbath.com,Home Improvement,,1971,LF,Voice mail message came on there was no human;;update URL https://bestbath.com/;;;;;;;,126
Betco Inc,(979) 778 6176,100-199,2780 N Harvey Mitchell Pkwy,,Bryan,Texas,77807,United States,www.betcoinc.com,Logistics and Supply Chain,,1984,LF,;;;;;;;;;,127
Bexel Global Broadcast Solutions,(800) 225 6185,100-199,2701 N Ontario Street,,Burbank,California,91504,United States,www.bexel.com,Broadcast Media,,1981,LF,he is not at his desk.;;Tom Dickinson CTO;;;;;;;,128
Beyond Digital Imaging,(905) 415 1888,,,,Markham (ON),,,Canada,www.bdimaging.com,,,,LF,they are all at lunch right now;Left a msg with the receptionist for the IT dept they are all out right now.  She did ask me if I had called before and I told her no;;;Larry Chan; President;;;;;;,129
BH Cosmetics USA,(888) 545 4744,21-49,2801 Burton Ave,,Burbank,California,91504,United States,www.bhcosmetics.com,Health and Beauty,,2009,LF,;;Pedro Lugo IT Mgr / Kirill Trachtenberg COO kirill@bhcosmetics.com;;;;;;;,130
BHK of America,(800) 724 4212,,3045 Philpott Road,,South Boston,Virginia,24592,United States,www.bhkofamerica.com,Manufacturing,,,LF,;;;;;;;;;,131
Bioquell Inc,(215) 682 0225,21-49,702 Electronic Dr,Suite 200 ,Horsham,Pennsylvania,19044,United States,www.bioquell.com,Medical Supplies and Equipment,,,LF,;;;;;;;;;,132
Bloomy Controls Inc,(860) 298 9925,21-49,839 Marshall Phelps Rd,,Windsor,Connecticut,6095,United States,www.bloomy.com,Information Technology and Services,,1992,LF,;;;;;;;;;,133
Blue Origin LLC,(253) 437 9300,500-999,21218 76th Ave S,,Kent,Washington,98032,United States,www.blueorigin.com,Defence and Space,0,,LF,;;;;;;;;;,134
Bob's Discount Furniture,(860) 645 3208,"2,000+",428 Tolland Turnpike,,Manchester,Connecticut,6042,United States,www.mybobs.com,Furniture,0,1991,LF,;;;;;;;;;,135
Bodine Electric Company,(773) 478 3515,200-499,201 Northfield Rd,,Northfield,Illinois,60093,United States,www.bodine-electric.com,Electrical/Electronic Manufacturing,,1905,LF,;;;;;;;;;,136
Boehmer Box Lp,(519) 576 2480,,,,Kitchener (ON),,,Canada,www.boehmerbox.com,,,,LF,;;;;;;;;;,137
Bombardier Inc,(514) 861 9481,,,,Montr_al (QC),,,Canada,www.bombardier.com,,,,LF,;;;;;;;;;,138
