Name,ID,Notes,,,,
ACP Direct Inc,(800) 238 8009,",Chuck Morris president chuck@acpdirect. com,,,,,,,,",,,,
ACS Solutions,(800) 241 9881,",these are previous visitors assigned to Cam; his lists have been assigned to you for any future visitors,Dave Fox https://www.linkedin.com/in/dave-fox-b55375a,,,,,,,",,,,
Acumen,(888) 632 9901,"He is at lunch right now,,Jeffrey Sawyer jsawyer@acumengroup.us,,,,,,,",,,,
Adchem Corporation,(631) 727 6000,"IT Mananger ext 234 he is not at his desk,,,,,,,,,",,,,
Adcom,(818) 765 9955,",,,,,,,,,",,,,
Adept Technology Inc,(925) 245 3400,",these are previous visitors assigned to Cam; his lists have been assigned to you for any future visitors,got Worksheet to Calculate Return on Investment for Your ERP = Bhanu Sodhi bhanu.sodhi@adept.com,,,,,,,",,,,
Adhesive Tape Products Inc,(305) 887 8881,",,,,,,,,,",,,,
Advance Paper Box Company,(323) 750 2550,",Shodja Talaee (Apogee) was CFO/COO here! not finding good contact other than HR mgr Susan Bollinger,,,,,,,,",,,,
Advanced Composites,(615) 244 8994,",these are previous visitors assigned to Cam; his lists have been assigned to you for any future visitors,MFG,,,,,,,",,,,
Advanced Engineering Solutions Inc,(937) 743 6900,",Mr. Daklak Do founding partner; tools mfg; do.daklak@aesi-usa.com,,,,,,,,",,,,
Advanced Fixtures Inc,(888) 784 8800,"She is in  meeting right now,,Stefanie Hurst CFO shurst@advancedfixtures invite to https://xtuple.com/roadshow-houston,,,,,,,",,,,
Advantech Industries Inc,(585) 247 0701,",,,,,,,,,",,,,
AERC Recycling Solutions,(804) 550 1762,",these are previous visitors assigned to Cam; his lists have been assigned to you for any future visitors,based on when hitting FT page-ccrawford@icsva.com,,,,,,,",,,,
Aerofit LLC,(714) 521 5060,",David Beddome president,,,,,,,,",,,,
AGDATA,(800) 230 4997,",,,,,,,,,",,,,
Aidarex Pharmaceuticals LLC,(951) 270 0816,",,,,,,,,,",,,,
Air Drilling Co,(704) 872 7614,",,,,,,,,,",,,,
Airborne Systems North America,(714) 662 1400,"Noone is at the front desk.,,,,,,,,,",,,,
Akkar Group,(305) 500 9929,",Jose Luis Zreik CEO,,,,,,,,",,,,
Album Palace Inc,(732) 317 8920,",,,,,,,,,",,,,
Alfa-Inc,(800) 551 4420,",,,,,,,,,",,,,
Alijas Inc,(215) 247 1833,",John Kukulka President,,,,,,,,",,,,
Allied Concrete,(434) 296 7181,",need eComm! Thomas Cobb VP/Corporate Controller,,,,,,,,",,,,
Allied Plating Supplies Inc,(800) 432 8692,"Gone for the day I let the receptionist know that someone went to our site about an alternative for Quickbooks,,,,,,,,,",,,,
Alpha Packaging,(314) 427 4300,",,,,,,,,,",,,,
Alps Welding Ltd,(905) 850 2780,",,,,,,,,,",,,,
Alstom,(212) 692 5353,",,,,,,,,,",,,,
Alternative Energy Source,(866) 646 7322,",Huck Hayes president,,,,,,,,",,,,
Aluf Plastics,(800) 394 2247,",mfg,,,,,,,,",,,,
Alva-Amco Pharmacal Companies Inc,(847) 663 0700,",,,,,,,,,",,,,
Amaxi Nutrition Products,(909) 989 2688,",,,,,,,,,",,,,
American Foam Corporation,(401) 944 4990,",,,,,,,,,",,,,
American Paper Converting Inc,(866) 822 5272,"found in df; also added to LEADS for Lead Slam,,,,,,,,,",,,,
American Ramp Company,(800) 949 2024,"The systems ADMIN said they already have ERP and dont need it he wouldnt tell me what they have,Switched to IT there was no answer,,,,,,,,",,,,
American Stationery Company Inc,(800) 822 2577,",Dave Ambrose IT, Michael & Cliff Bakehorn owners, Mike Bakehorn president,,,,,,,,",,,,
AMETEK,(978) 988 4101,",cj.mukherjee@ametek.com CJ Mukherjee Superior Tube Company Inc (attended Pipe&Tube Charlotte Show where Wally presented Sep2016),,using pre-key PostBooks?,,,,,,",,,,
Amigo Mobility Center,(888) 892 2580,",,,,,,,,,",,,,
Amphenol EEC Inc,(773) 463 8343,",did not convert on free demo signup - no contact info,Matt Schroll Systems Coord; Monica Okoniewski Office Admin,,,,,,,",,,,
AMS Controls,(314) 344 3144,",at FABTECH? Andy Allman (Pres) Marc Allman (COO),,,,,,,,",,,,
Amsco Valley Forge,(631) 435 1400,",Brian Minoff president brian@amscovf.com,,,,,,,,",,,,
Analog Devices Inc,(800) 262 5643,",,,,,,,,,",,,,
Anderson International Corp,(800) 336 4730,",,,,,,,,,",,,,
Animal Science Products Inc,(936) 560 0003,",,,,,,,,,",,,,
Animart,(855) 254 6600,"Sean is not at his desk.,Sean Neil in IT is in a meeting.,,,,,,,,",,,,
Anthill Networks,(281) 923 7737,"Bob Watts watts@humbug.antnet.com,,Bob Watts watts@humbug.antnet.com - opened e-blast re: Houston roadshow,,,,,,,",,,,
Aperion Information Technologies Inc,(989) 792 3877,",Mark Comins President mark@aperion.com,,,,,,,,",,,,
Apex Manufacturing Solutions LLC,(208) 344 5535,",,,,,,,,,",,,,
Apollo Video Technology,(425) 483 7100,",,,,,,,,,",,,,
Applied Dynamics International Inc,(734) 973 1300,",,,,,,,,,",,,,
Appvion Inc,(920) 734 9841,",,,,,,,,,",,,,
Arbonne International LLC,(800) 272 6663,"Kay Zanotti CEO, Gretchen Price CFO, Guy Their, CIO,,,,,,,,,",,,,
ARC Automotive Inc,(865) 583 7800,",,,,,,,,,",,,,
Arizona Chemical Company LLC,(800) 526 5294,",,,,,,,,,",,,,
Armstrong Group,(724) 2830925,",,,,,,,,,",,,,
Armstrong RM Corp,(315) 437 1517,"someone from Blair is here - could be a referral for us? Ed Doherty Ops, Peter Armstrong President, Patrick Federico CFO, James Morin GM,,,,,,,,,",,,,
Arnold. Hancock & Co LLC,(432) 683 8200,",,,,,,,,,",,,,
Array Technologies,(505) 881 7567,",,,,,,,,,",,,,
Art's,(408) 778 0606,",,,,,,,,,",,,,
Artmada Inc,(847) 854 8922,"SAP,,,,,,,,,",,,,
Ascent Energy Services Inc,(519)  631 4211,",,,,,,,,,",,,,
Asheville Fence,(800) 520 7501,",,,,,,,,,",,,,
Ashland Inc,(859) 357 7777,",,,,,,,,,",,,,
Asset Inter Tech Inc,(888) 694 6250,",,,,,,,,,",,,,
Associated Dynamics Inc,(800) 442 5125,",found us via Serchen (lead gen/review site)missy,,,,,,,,",,,,
Astellas Pharma US Inc,(800) 888 7704,",,,,,,,,,",,,,
Astronics Corporation,(425) 881 1700,",,,,,,,,,",,,,
ATACO Steel Products Corporation,(262) 377 3000,"Jim ext 239,IT is not in right now,,,,,,,,",,,,
Athena Manufacturing LP,(512) 928 2693,",,,,,,,,,",,,,
Atlantic Coated Papers Ltd,(416) 299 1675,",Sylvain Jutras VP Ops; Jim Dubay VP Finance, David Granovsky Pres, Phil Woodall Purchasing (80 emps),,,,,,,,",,,,
Atlas Systems Inc,(757) 467 7872,",local company (VirginiaBeach) hitting career pages,,,,,,,,",,,,
Audina Hearing Instruments Inc,(407) 331 0077,"AJ the IT manager is in a meeting.,,,,,,,,,",,,,
Audio Incorporated,(908) 620 1007,",,,,,,,,,",,,,
Auroralight Inc,(877) 942 1179,",,,,,,,,,",,,,
Auto-Chlor System,(559) 291 5051,",Kevin McCurdy COO; Paul Macdonald Corp Controller,,,,,,,,",,,,
Auto-Vehicle Parts Company,(800) 354 9816,"Joe Hohe VP Ops,http://www.k-ecommerce.com/medias/Auveco_Case_Study.pdf,,Using k-ecommerce & MSFT Dynamics,,,,,,",,,,
Autocrib,(800) 671 6501,",Stephen Pixley CEO, Jonathan Kim CTO, Jim McMahon VP Ops,,,,,,,,",,,,
Automatic Handling,(734) 847 0633,",,,,,,,,,",,,,
AutoZone Inc,(901) 495 6500,",,,,,,,,,",,,,
Avalara Inc,(206) 826 4900,",,,,,,,,,",,,,
Avior Control Technologies Inc,(720) 491 3708,",Debora Starin president,,,,,,,,",,,,
Aware Products,(818) 206 6700,",,,,,,,,,",,,,
Baass Business Solutions Inc,(519) 936 7991,",Joseph Arnone President jarnone@baass.com,,,,,,,,",,,,
Balchem Corporation,(845) 355 5300,",John Kuehner (VP Ops) William Backus (CFO) Frank Fitzpatrick (VP Admin) no webform registration matched w/this company,,,,,,,,",,,,
Baosteel America Inc,(201) 307 3355,",,,,,,,,,",,,,
Barefoot Yoga Co,(877) 227 3366,",,,,,,,,,",,,,
BatchMaster Manufacturing ERP,(949) 583 1646,"They are a competitor.,,Mark Richards mrichards@batchmaster.com,,,,,,,",,,,
Baumer Foods Inc,(504) 482 5761,",FOOD MFG,,,,,,,,",,,,
Bay,(800) 837 2292,",,,,,,,,,",,,,
Bay Photo Lab,(800) 435 6686,",sara.parsoneault@bayphoto.com (form submission),,,,,,,,",,,,
BCA Network LLC,(410) 869 1325,"not available,no record in our db re: using PostBooks¬,,,,,,,,",,,,
Beckman Coulter Inc,(541) 472 6500,",,,,,,,,,",,,,
Bedrosians,(714) 778 1800,",Gardnar O'Brien CFO,,,,,,,,",,,,
Bel Power Solutions,(866) 513 2839,",Dan Bernstein president, Dennis Ackerman VP Ops, Colin Dunn VP Finance/CFO 201-432-0463 x2810 cdunn@belf.com - auto aftermarket-good industry for us!,,,,,,,,",,,,
Belden Inc,(800) 235 3361,",,,,,,,,,",,,,
Belkin International Inc,(310) 751 5100,"No names are on the prompts or departments,,,,,,,,,",,,,
Bell Electronics,(253) 395 0707,"Not interested,,Gary Bell, in df,,,,,,,",,,,
Bell Supply Company LLC,(817) 645 4200,"Phone just rang when they switched me,940-612-0612 call corporate the gentleman said who answered the phone.,,,,,,,,",,,,
Belleville International,(877) 235 5384,",did not complete free demo signup,,,,,,,,",,,,
Belron Canada Inc,(905) 669 7700,",,,,,,,,,",,,,
Bendix Commercial Vehicles Systems LLC,(440) 329 9000,",,,,,,,,,",,,,
Bennett Crone Lumber & Plywood Inc,(619) 661 0667,",,,,,,,,,",,,,
Benny D'Angelo Transport,(450) 454 9824,"Rentals Mgr, eCommerce,,,,,,,,,",,,,
Benson Stone Co,(815) 227 2000,"told us they were going with Epicor (big jump!) but need to followup: Mark Martindale markm@bensonstone.com 815-227-2000 ex 108,Danielle says go for it,,Anil's customer?,Looks like you're working with Anil on this one - Cam,,,,,",,,,
BerganKDV,(952) 563 6800,",,,,,,,,,",,,,
Berry Plastics Corporation,(877) 662 3779,"Cant get throught the line,,,,,,,,,",,,,
Bestbath,(800) 727 9907,"Voice mail message came on there was no human,,update URL https://bestbath.com/,,,,,,,",,,,
Betco Inc,(979) 778 6176,",,,,,,,,,",,,,
Bexel Global Broadcast Solutions,(800) 225 6185,"he is not at his desk.,,Tom Dickinson CTO,,,,,,,",,,,
Beyond Digital Imaging,(905) 415 1888,"they are all at lunch right now,Left a msg with the receptionist for the IT dept they are all out right now.  She did ask me if I had called before and I told her no,,,Larry Chan, President,,,,,,",,,,
BH Cosmetics USA,(888) 545 4744,",,Pedro Lugo IT Mgr / Kirill Trachtenberg COO kirill@bhcosmetics.com,,,,,,,",,,,
BHK of America,(800) 724 4212,",,,,,,,,,",,,,
Bioquell Inc,(215) 682 0225,",,,,,,,,,",,,,
Bloomy Controls Inc,(860) 298 9925,",,,,,,,,,",,,,
Blue Origin LLC,(253) 437 9300,",,,,,,,,,",,,,
Bob's Discount Furniture,(860) 645 3208,",,,,,,,,,",,,,
Bodine Electric Company,(773) 478 3515,",,,,,,,,,",,,,
Boehmer Box Lp,(519) 576 2480,",,,,,,,,,",,,,
Bombardier Inc,(514) 861 9481,",,,,,,,,,",,,,
Bowe Bell & Howell International Ltd,(800) 889 6245,",,,,,,,,,",,,,
Boyum & Barenscheer PLLP,(952) 854 4244,",,,,,,,,,",,,,
Bradford Times,(905) 775 4471,"using our software but no company record,,Based on 1/30 RSS click, may be jtrainor@touchstonetech.ca - LF SUPPORT confirms this IP is Bradford Times - ?,Matt Labrun is the person to speak to I called the Post Media Group and he is not at his desk wcb tomorrow,,Talked to Miss King and she said that the Bradford Times is a division of the Post Media Group and they handle all of the IT and software issues I have to call them and she gave me the phone no its705-726-6537.....,on 3.6.0RC Standard - no contact in df,,,",,,,
Brago Construction Inc,(450) 661 1121,",,,,,,,,,",,,,
Bravo Company USA Inc,(877) 272 8626,",,,,,,,,,",,,,
Brazeway Inc,(317) 392 2533,",2008 website - they sorely need xTupleCommerce!,,,,,,,,",,,,
Brewers Association,(888) 822 6273,"IT not available,,did not complete free demo signup; interest in PostBooks¬,,,,,,,",,,,
Bridgeline Digital,(781) 376 5555,",,,,,,,,,",,,,
BroadPlex,(828) 433 4506,",,,,,,,,,",,,,
Brothers International Food Corporation,(585) 343 3007,",,,,,,,,,",,,,
Brown Enterprise Solutions,(614) 588 0248,",,,,,,,,,",,,,
BST Consultants Inc,(800) 726 3300,",dlang@bstgroup.com Donald Langefels,,,,,,,,",,,,
Buckeye,(800) 321 2583,",,,,,,,,,",,,,
Business Access,(972) 931 4198,",https://www.linkedin.com/in/kimbunting/,,,,,,,,",,,,
Business Systems Connection,(877) 271 9484,",,,,,,,,,",,,,
Bway,(770) 645 4800,"Nobody is answering the phone,,Fernando Graf, VP  IT; Vanda Reis, IT Transformation,,,,,,,",,,,
C R Laurence Co Inc,(800) 421 6144,",Dale Bolen, VP Finance/Acct, Mazdak Vaezpour SVP Mfg,,,,,,,,",,,,
C Raker & Sons Inc,(517) 542 2316,",,,,,,,,,",,,,
C&F Enterprises Inc,(404) 523 0034,",,,,,,,,,",,,,
Cabot Corporation,(678) 297 1300,",,,,,,,,,",,,,
CAID Industries,(520) 294 3126,",,,,,,,,,",,,,
Cal Industrial Sales South Co Inc,(323) 278 7979,",,,,,,,,,",,,,
Cal-Western Packaging Corp,(901) 775 2767,",2016-won 16 contracts worth $43.4 million. Since 2000, performed 607 contracts with a total obligation amount of $1.43 billion - large government contractor - Cliff Robinson, Manufacturing Executive,,,,,,,,",,,,
Callaway,(877) 723 5218,",golf!!!,,,,,,,,",,,,
Calumet Specialty Products Partners LP,(800) 437 3188,",,,,,,,,,",,,,
Camino Modular Building Systems,(416) 675 2400,",,,,,,,,,",,,,
Camino Real Kitchens Inc,(800) 421 6201,",,,,,,,,,",,,,
Canadian Dewatering LP,(780) 400 2260,"Owned by another company who makes the decision and wont give me the name.,She said they are not available.,,Dale Marchand President (Web Portal, Rentals - hot buttons?),,,,,,",,,,
Canam Group Inc,(418) 228 8031,",,,,,,,,,",,,,
Cancord Inc,(800) 879 0079,",Wendy Johnstone Pres,,,,,,,,",,,,
Capital Signs,(800) 369 2559,"Talked to Kapil they added to Sage so they are not interested anymore,not available,Not available,Checked with IT and someone else and they claim they are not using our software will go back and try to find someone else.,i have a question - can we ....,Kapil Lamichhane was talked to on 2/8 - brush off  - might be worth finding another contact at company,Active Customer visitors previously assigned to Renee,demo scheduled,,",,,,
Carolina Industrial Equipment,(800) 933 5705,"not available,,,,,,,,,",,,,
Cascade Rubber Products Inc,(800) 226 5994,"They are open 6-2:00pm they are closed,,,,,,,,,",,,,
Casco Equipment Corporation,(951) 324 8500,"He is not available right now.,Tony Macaleer is the IT Manager and he is not in,,,,,,,,",,,,
Caterpillar Inc,(309) 672 2905,",did not complete free demo signup,,,,,,,,",,,,
Cavalia Inc,(866) 989 2282,"message machine came on,NO answer the messae machine came on.,not in our target mkt but would make interesting case study!,,free PostBooks user - we'd love to know them, upgrade, subscribe to our email list for updated info etc,,,,,",,,,
CB&I,(832) 513 1000,",Steve Owens VP Manufacturing sowens@cbi.com,,,,,,,,",,,,
CBC of Charleston,(843) 747 5429,",,,,,,,,,",,,,
CCK Automations Inc,(217) 243 6040,",,,,,,,,,",,,,
CDW Corporation,(702) 495 5000,",,,,,,,,,",,,,
Cedar Valley IT Services,(319) 235 2724,",,,,,,,,,",,,,
Cenovus Energy Inc,(403) 766 2000,",,,,,,,,,",,,,
Centaur Technology,(512) 418 5700,",,,,,,,,,",,,,
Central Packaging,(913) 894 0744,",,,,,,,,,",,,,
Central Spa & Pool Supply,(705) 528 1052,",,,,,,,,,",,,,
Certco Inc,(608) 271 4500,",Robert Collins IT, Randy Simon president, Amy Niemetscheck CFO,,,,,,,,",,,,
Cesart Internationale Inc,819 693 6763,",phone # not in service,using PB4.9.2,checks out as valid company IP - worth making contact,not Fred Blauer - checking IPhttp://computer-processing-data-preparation-processing-services.can.info/qc/montreal/cesart-internationale-inc/,,,,,",,,,
CFAN,(512) 353 2832,",,,,,,,,,",,,,
Cff Stainless Steels Inc,905 549 2603,",,,,,,,,,",,,,
CFI,(256) 837 5660,",good lead - we have several similar government contracting customers via SAIC,,,,,,,,",,,,
CGI Group Inc,(514) 841 3200,",mark.boyajian@cgi.com President,,,,,,,,",,,,
CGIS,(250) 562 8261,",Lisa Woods COO, Ross Waters president, Paul Conradie Ops (possibly on NetSuite),,,,,,,,",,,,
Ch Technologies Inc,(425) 398 7145,",http://chtechusa.com,,,,,,,,",,,,
ChaiOne,(888) 316 0357,",GAURAV KHANDELWAL CEO - make appointment w/xTuple's Danielle Kerner,,,,,,,,",,,,
Chancellor Inc,(601) 518 6453,",,,,,,,,,",,,,
ChanTest,(877) 828 1777,",,,,,,,,,",,,,
Chemtec Chemical Company,(818) 700 0071,"Roger said he has never used it (postbooks) and is not interested,Roger Long is the head of IT he is not at his desk right now I was transferred over.,Scott Gelowitz CEO,,,,,,,",,,,
Chesapeake Energy Corporation,(405) 848 8000,",,,,,,,,,",,,,
Chevron Corporation,(925) 842 1000,",,,,,,,,,",,,,
Chime Master,(740) 746 8500,",,,,,,,,,",,,,
Choice Solutions LLC,(800) 486 1541,",make appointment w/xTuple's Danielle Kerner,Jim Steinlage jsteinlage@choicesolutions.com in df,,,,,,,",,,,
CIRS,(800) 617 1177,",local to us,mark@cirsinc.com Mark Devlin 757-855-2765,,,,,,,",,,,
ClearEdge Partners,(617) 527 2022,",,,,,,,,,",,,,
Clifton Lighting & Supplies,(973) 365 1007,"There is no answer,,,,,,,,,",,,,
CliftonLarsonAllen,(612) 376 4500,",farris.hamwi@cliftonlarsonallen.com practice director,,,,,,,,",,,,
CNM LLP,(818) 999 9501,",,,,,,,,,",,,,
Cobham Integrated Electronic Solutions Inc,(215) 996 2000,"not available,,did not complete free demo signup form,,,,,,,",,,,
Cobra Motorcycle Manufacturing Inc,(517) 437 9100,",,,,,,,,,",,,,
Code,(801) 495 2200,",Dr. Ming Lei VP Tech, Jana Buck VP Ops,,,,,,,,",,,,
Cohen & Company,(216) 579 1040,",sguarini@cohencpa.com Steve Guarini,,,,,,,,",,,,
Coil Craft,(800) 322 2645,",,,,,,,,,",,,,
Colgate-Palmolive Company,(732) 878 7500,",,,,,,,,,",,,,
Colonna's_Shipyard Inc,(800) 265 6627,",local to us,look who visited again--didn't do much....,eComm prospect? 2015 website http://www.colonnaship.com/our-team.html,,,,,,",,,,
Color Associates,(314) 423 9300,",,,,,,,,,",,,,
Comet Industries Inc,(888) 700 4214,",,,,,,,,,",,,,
Commercial Base Software Ltd,(403) 532 4404,",Jerry Hobbs Ext 200 jhobbs@cbasetech.com or jghsurfpro@hotmail.com; 9 Cougarstone Place SW, Calgary AB T3H 4W8,,,,,,,,",,,,
Commercial Truck Equipment Co,(604) 888 0513,",Spire db name? IP checks out - legit company,,,,,,,,",,,,
Computer Works,(734) 242 4539,"Founders Robert & Matthew brothers Kevin Dahm (President) are cutting neighborhood lawns out of their parentsÍ home.  3 Brothers Lawn Care,,ever make a connection here?,This IP is correct company; using pre-PB key version; should we reach out & get them upgraded?,logging into the xTuple app several times daily using PostBooks 3.8; potential partner?,,,,,",,,,
Concurrent Technologies Corp,(800) 282 4392,",,,,,,,,,",,,,
ConocoPhillips Company,(918) 661 6600,",,,,,,,,,",,,,
Conseil IntelliCo Consulting,(514) 907 2340,",MSFT partner,,,,,,,,",,,,
Consolidated Pressure Control,(281) 893 5900,",,,,,,,,,",,,,
Contech Inc,(800) 767 8658,",David Radick Finance,,,,,,,,",,,,
Contemporary Services Canada,(604) 687 2483,",,,,,,,,,",,,,
Contour Metrological & Manufacturing,(800) 641 7913,"Not available,,,,,,,,,",,,,
Control Chief,(814) 362 6811,",,,,,,,,,",,,,
Convergent Technologies Group,(888) 353 5307,",Jeff Garell owner - make appointment w/xTuple's Danielle Kerner,,,,,,,,",,,,
Conviron,(204) 786 6451,"There is no answer,,gvokey@conviron.com Gord Vokey,,,,,,,",,,,
Cook Medical,(812) 339 2235,",,,,,,,,,",,,,
Cooperative Computing,(469) 795 7964,",Partner opp?,,,,,,,,",,,,
CorActive,(418) 845 2466,",,,,,,,,,",,,,
Core Laboratories,(713) 328 2673,"David.Hume@corelab.com,,David Hume President invite to 5/12 Houston event https://xtuple.com/join-us-2017-xtuple-roadshow,,,,,,,",,,,
Cét_ R_co Inc,(819) 292 2323,",Robert Huyghe robert@crbsolutions.ca,,,,,,,,",,,,
Creative Business Solutions,(952) 544 1108,",George B. Studnicky III president, we have very similar customers!,,,,,,,,",,,,
Creative Stage Lighting Co Inc,(518) 251 3302,"Talked to IT and he said there is no interest.,,,,,,,,,wally mentioned renee will chase initially",,,,
Crestline,(306) 934 8844,"Switched to IT and there was no answer,,hitting free PostBooks¬ but no record of this customer,,,,,,,",,,,
Croakies,(800) 443 8620,",vicky.ludema@crowehorwath.com,,,,,,,,",,,,
Crowe Horwath LLP,(212) 572 5500,",Jim Cook President - Business Solutions (may be in Fairfax office; who is his counterpart here?), to you from the Data Manager Prospective Partners.,,,,,,,",,,,
CSC,(860) 823 2000,",,,,,,,,,",,,,
CuBE Packaging Solutions Inc,(905) 750 2823,",Kim Camilleri VP Finance, Tim Hinton IT,,,,,,,,",,,,
Custom Comfort Mattress Co,(866) 838 5607,",,?,,,,,,,",,,,
Custom Information Services,(888) 739 3375,"not available,,Tim Riddle triddle@customis.com,,,,,,,",,,,
Custom Valve,(800) 513 2773,",sent email to clarify - 2 active accounts in df,Called and ended up talking to Tom, Locker Live division. They're on PB 4.7. Custom Valve isn't on the xTuple.http://www.lockerlive.net/Locker_Live,_LLC/Welcome.html,pre-key PB,,,,,,",,,,
CVRx Inc,(763) 416 2840,",https://www.linkedin.com/in/john-brintnall-391b1410/ CFO - they mfg a patented medical device!,,,,,,,,",,,,
D&H Global Enterprise LLC,(262) 255 1170,",,,,,,,,,",,,,
Da Inc,(812) 256 3351,",MFG plastics,,,,,,,,",,,,
Daimay North America Automotive Inc,(313) 387 8018,",http://en.daimay.com/about.html,,,,,,,,",,,,
Daniel S. Harrison Contracting LLC,(215) 369 0593,",,,,,,,,,",,,,
Daniells Phillips Vaughan & Bock,(661) 834 7411,",,,,,,,,,",,,,
Dare Foods Ltd,(519) 893 5500,",,,,,,,,,",,,,
Dart NeuroScience,(858) 736 3060,",,,,,,,,,",,,,
Day Automation,(585) 924 4630,",Eric Orban, President; Robert Bower, Technology Mgr; Wayne Pruner, Financial Director,,,,,,,,",,,,
Dayton Lamina Corporation,(937) 859 5111,"Based on only 1 visit, not a Good Lead; they use JDEdwards,,I called and the operator is not available wcb..went to contacts and there is no last name but I went to the prompts and none of the depts are listed.  This IS a manufacturing company so they come under our profile.,,,,,,,",,,,
DeBug Computer Inc,(775) 883 3630,",,,,,,,,,",,,,
Deccofelt Corporation,(800) 543 3226,",,,,,,,,,",,,,
Decor Products Inc,(888) 688 6396,",,,,,,,,,",,,,
Deerpoint Group Inc,(800) 969 8458,",sound Whitney-like?missy,,,,,,,,",,,,
Dekra-Lite Canada,(604) 683 5483,",,,,,,,,,",,,,
Del Sol Food Company Inc,(979) 836 5978,",Jerry Brown owner info@briannassaladdressing.cominvite to https://xtuple.com/roadshow-houston,,,,,,,,",,,,
Design Distributors Inc,(631) 242 2000,",,,,,,,,,",,,,
Devon Energy Corporation,(405) 235 3611,",,,,,,,,,",,,,
Diamond Gear Company Ltd,(877) 811 4258,"Philia Lijdsman General Manager PLijdsman@newdellco.com 281.686.9961,,mfgmissy,,,,,,,",,,,
Diamond Moba Americas,(248) 476 7100,",,,,,,,,,",,,,
Diamond Products,(800) 321 5336,",,,,,,,,,",,,,
Digatron Power Electronics Inc,(203) 446 8000,",,,,,,,,,",,,,
Digi International Inc,(877) 912 3444,",,,,,,,,,",,,,
Digi Key Electronics,(800) 344 4539,",,,,,,,,,",,,,
Digital District,(514( 932 4191,",using older pre-key version of PostBooks - no contact info for this company - please collect as much as possible,,,,,,,,",,,,
Display Logic USA,(631) 406 1922,",,,,,,,,,",,,,
Distek Inc,(732) 422 7585,",,,,,,,,,",,,,
DistributionNOW,(800) 228 2893,"Matt Oglesby VP IT Matt@distributionnow.com; Robert Workman Pres/CEO,,,,,,,,,",,,,
DiversiFoam Products,(763) 477 5854,",Mike Truebenbach mtrueben@diversifoam.com,Steve Slavik, Operations Mgr (or CEO per Data.com); Kurt Kessler Plant Mgr; Rebecca Coyle, CIO,Looking for a contact to reach out to. Thanks! - Cam,,,,,,",,,,
Dixie USA EMS Supply Company,(800) 347 3494,",,,,,,,,,",,,,
DJO Global,(760) 727 1280,"Switched to the admin asst of the IT dept they would not put me through to the manager.,,,,,,,,,",,,,
dlhBOWLES,(330) 478 2503,",found us using a private search engine so no idea what keyword they used missy,,,,,,,,",,,,
Dorfin,(888) 936 7346,",,,,,,,,,",,,,
DORMA Americas,(866) 401 6063,",MFG--rick,David Lui - MGR IT InfrastructureTad Achenbach - Materials/Production & Inventory Control MGRJohn Daniels - VP Ops,,,,,,,",,,,
Dorner Company,(262) 932 2100,",Tim Ruesch CEO,,,,,,,,",,,,
Doshi Associates Inc,(248) 689 6700,"There was no answer,I called and there was no answer.,,,,,,,,",,,,
DownEast,(800) 337 3076,",Klane Murphy CEORich Israelsen COOSteve Pappas IT Mgr,,,,,,,,",,,,
